Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name,Cluster,Segmentation
agoda,Luminor Hotel Jemursari by WH,64886,Surabaya,Indonesia,4,8.6,2025-10-03,2025-10-04,by jemursari luminor wh,2,Best Value
agoda,ARTOTEL TS Suites Surabaya,99457,Surabaya,Indonesia,4,8.9,2025-10-03,2025-10-04,artotel suites surabaya ts,2,Best Value
agoda,Leedon Hotel & Suites Surabaya,125303,Surabaya,Indonesia,4,9.2,2025-10-03,2025-10-04,leedon suites surabaya,2,Best Value
agoda,Country Heritage,132152,Surabaya,Indonesia,4,7.7,2025-10-03,2025-10-04,country heritage,2,Best Value
agoda,Vasa Hotel Surabaya,160855,Surabaya,Indonesia,5,9.0,2025-10-03,2025-10-04,surabaya vasa,2,Best Value
agoda,Elmi Hotel,162537,Surabaya,Indonesia,4,9.0,2025-10-03,2025-10-04,elmi,2,Best Value
agoda,Gunawangsa Manyar Hotel,173196,Surabaya,Indonesia,3,8.3,2025-10-03,2025-10-04,gunawangsa manyar,1,Budget
agoda,Swiss Belinn Tunjungan,174226,Surabaya,Indonesia,3,8.9,2025-10-03,2025-10-04,belinn swiss tunjungan,1,Budget
agoda,HARRIS Hotel & Conventions Gubeng,181334,Surabaya,Indonesia,4,8.8,2025-10-03,2025-10-04,conventions gubeng harris,2,Best Value
agoda,"Four Points by Sheraton Surabaya, Pakuwon Indah",182072,Surabaya,Indonesia,4,9.4,2025-10-03,2025-10-04,by four indah pakuwon points sheraton surabaya,2,Best Value
agoda,Hotel Santika Premiere Gubeng,224970,Surabaya,Indonesia,4,8.7,2025-10-03,2025-10-04,gubeng premiere santika,2,Best Value
agoda,YELLO Hotel Jemursari,227561,Surabaya,Indonesia,4,8.7,2025-10-03,2025-10-04,jemursari yello,2,Best Value
traveloka,Country Heritage Resort Hotel Surabaya,233616,Surabaya,Indonesia,3,8.3,2025-10-03,2025-10-04,country heritage surabaya,1,Budget
agoda,The Life Styles Hotel Surabaya,234519,Surabaya,Indonesia,4,8.6,2025-10-03,2025-10-04,life styles surabaya the,2,Best Value
agoda,Hotel 88 Embong Kenongo by WH,235267,Surabaya,Indonesia,2,8.5,2025-10-03,2025-10-04,88 by embong kenongo wh,1,Budget
agoda,Grand Darmo Suite by AMITHYA,235890,Surabaya,Indonesia,4,8.6,2025-10-03,2025-10-04,amithya by darmo grand suite,2,Best Value
agoda,Surabaya Suites Hotel Powered by Archipelago,237064,Surabaya,Indonesia,4,8.3,2025-10-03,2025-10-04,archipelago by powered suites surabaya,2,Best Value
agoda,BATIQA Hotel Darmo - Surabaya,245214,Surabaya,Indonesia,3,9.0,2025-10-03,2025-10-04,batiqa darmo surabaya,1,Budget
agoda,Swiss-Belinn Airport Surabaya,247066,Surabaya,Indonesia,3,9.1,2025-10-03,2025-10-04,airport surabaya swissbelinn,1,Budget
agoda,Hotel Sinar 1,248063,Surabaya,Indonesia,3,7.7,2025-10-03,2025-10-04,1 sinar,1,Budget
agoda,Crown Prince Hotel Surabaya Managed by Midtown Indonesia Hotels,249844,Surabaya,Indonesia,4,8.7,2025-10-03,2025-10-04,by crown hotels indonesia managed midtown prince surabaya,2,Best Value
agoda,Hotel Platinum Tunjungan Surabaya,253446,Surabaya,Indonesia,4,8.9,2025-10-03,2025-10-04,platinum surabaya tunjungan,2,Best Value
agoda,BeSS Mansion Hotel Surabaya,254060,Surabaya,Indonesia,4,8.9,2025-10-03,2025-10-04,bess mansion surabaya,2,Best Value
agoda,Collection O 30 Amega Crown Sub,256682,Surabaya,Indonesia,3,8.8,2025-10-03,2025-10-04,30 amega collection crown o sub,1,Budget
agoda,Lively Hotel City Center Surabaya,262934,Surabaya,Indonesia,2,8.7,2025-10-03,2025-10-04,center city lively surabaya,1,Budget
agoda,Agogo Downtown Surabaya,264283,Surabaya,Indonesia,3,9.0,2025-10-03,2025-10-04,agogo downtown surabaya,1,Budget
agoda,Hotel Kampi Tunjungan - Surabaya,271100,Surabaya,Indonesia,3,9.3,2025-10-03,2025-10-04,kampi surabaya tunjungan,1,Budget
traveloka,Great Diponegoro Hotel Surabaya,278460,Surabaya,Indonesia,3,8.7,2025-10-03,2025-10-04,diponegoro great surabaya,1,Budget
agoda,MORAZEN Surabaya,278468,Surabaya,Indonesia,4,9.2,2025-10-03,2025-10-04,morazen surabaya,2,Best Value
agoda,Hotel Ciputra World Surabaya managed by Swiss-Belhotel International,278839,Surabaya,Indonesia,5,9.0,2025-10-03,2025-10-04,by ciputra international managed surabaya swissbelhotel world,2,Best Value
agoda,Oakwood Hotel & Residence Surabaya,281073,Surabaya,Indonesia,5,9.2,2025-10-03,2025-10-04,oakwood surabaya,2,Best Value
agoda,Hotel Gunawangsa MERR,284820,Surabaya,Indonesia,4,8.6,2025-10-03,2025-10-04,gunawangsa merr,2,Best Value
traveloka,Hotel 88 Kedungsari (Kedungdoro) By WH,285012,Surabaya,Indonesia,5,8.6,2025-10-03,2025-10-04,88 by kedungdoro kedungsari wh,2,Best Value
agoda,Hotel Dafam Pacific Caesar,287473,Surabaya,Indonesia,3,8.9,2025-10-03,2025-10-04,caesar dafam pacific,1,Budget
agoda,Sahid Surabaya,288453,Surabaya,Indonesia,3,8.4,2025-10-03,2025-10-04,sahid surabaya,1,Budget
agoda,The Life Hotels City Center,289552,Surabaya,Indonesia,3,8.1,2025-10-03,2025-10-04,center city hotels life the,1,Budget
agoda,Midtown Hotel,292404,Surabaya,Indonesia,3,9.0,2025-10-03,2025-10-04,midtown,1,Budget
traveloka,Aston Inn Jemursari,292761,Surabaya,Indonesia,4,8.8,2025-10-03,2025-10-04,aston jemursari,2,Best Value
traveloka,G Suites Hotel by AMITHYA,294513,Surabaya,Indonesia,4,8.2,2025-10-03,2025-10-04,amithya by g suites,2,Best Value
traveloka,Hotel 88 Embong Malang By WH,296474,Surabaya,Indonesia,3,8.4,2025-10-03,2025-10-04,88 by embong malang wh,1,Budget
agoda,Grand Whiz Hotel Praxis Surabaya,297890,Surabaya,Indonesia,4,9.0,2025-10-03,2025-10-04,grand praxis surabaya whiz,2,Best Value
agoda,ibis Surabaya City Center Hotel,303255,Surabaya,Indonesia,4,8.7,2025-10-03,2025-10-04,center city ibis surabaya,2,Best Value
traveloka,MaxOneHotel Tidar Surabaya,303948,Surabaya,Indonesia,4,8.6,2025-10-03,2025-10-04,maxonehotel surabaya tidar,2,Best Value
agoda,Capital O 90336 Olive Guest House,306232,Surabaya,Indonesia,2,8.8,2025-10-03,2025-10-04,90336 capital guest house o olive,1,Budget
traveloka,favehotel MEX Tunjungan Surabaya,309324,Surabaya,Indonesia,5,8.2,2025-10-03,2025-10-04,favehotel mex surabaya tunjungan,2,Best Value
agoda,REGANTRIS Hotel Surabaya,315352,Surabaya,Indonesia,3,8.9,2025-10-03,2025-10-04,regantris surabaya,1,Budget
traveloka,KHAS Surabaya Hotel,317875,Surabaya,Indonesia,4,8.5,2025-10-03,2025-10-04,khas surabaya,2,Best Value
agoda,OYO 94780 Blessing Homestay,318161,Surabaya,Indonesia,3,8.2,2025-10-03,2025-10-04,94780 blessing homestay oyo,1,Budget
agoda,"Mono Coliving Ngagel, Surabaya",320531,Surabaya,Indonesia,1,9.0,2025-10-03,2025-10-04,coliving mono ngagel surabaya,1,Budget
agoda,PanaHouse Surabaya,321823,Surabaya,Indonesia,2,8.8,2025-10-03,2025-10-04,panahouse surabaya,1,Budget
traveloka,Two Bedroom Apartment at Supermall Tanglin Surabaya (Miracle),329648,Surabaya,Indonesia,4,8.3,2025-10-03,2025-10-04,apartment at bedroom miracle supermall surabaya tanglin two,2,Best Value
traveloka,Quest Hotel Darmo - Surabaya by ASTON,330569,Surabaya,Indonesia,4,8.5,2025-10-03,2025-10-04,aston by darmo quest surabaya,2,Best Value
agoda,Aloft Surabaya Pakuwon City,333678,Surabaya,Indonesia,4,9.4,2025-10-03,2025-10-04,aloft city pakuwon surabaya,2,Best Value
traveloka,Neo+ Waru Sidoarjo by ASTON,334885,Surabaya,Indonesia,3,8.5,2025-10-03,2025-10-04,aston by neo sidoarjo waru,1,Budget
traveloka,favehotel Rungkut Surabaya,336170,Surabaya,Indonesia,4,8.4,2025-10-03,2025-10-04,favehotel rungkut surabaya,2,Best Value
traveloka,Namira Syariah Hotel Surabaya,338575,Surabaya,Indonesia,3,8.6,2025-10-03,2025-10-04,namira surabaya,1,Budget
agoda,Fazza Homes Syariah,346596,Surabaya,Indonesia,3,8.8,2025-10-03,2025-10-04,fazza homes,1,Budget
traveloka,ibis Surabaya Tidar,346596,Surabaya,Indonesia,3,9.0,2025-10-03,2025-10-04,ibis surabaya tidar,1,Budget
agoda,Grand Swiss-Belhotel Darmo,347679,Surabaya,Indonesia,5,9.3,2025-10-03,2025-10-04,darmo grand swissbelhotel,2,Best Value
traveloka,LAMORA Kota Lama Surabaya,348419,Surabaya,Indonesia,4,9.2,2025-10-03,2025-10-04,kota lama lamora surabaya,2,Best Value
agoda,Cordia Hotel Surabaya Airport - Hotel Dalam Bandara,349915,Surabaya,Indonesia,2,8.3,2025-10-03,2025-10-04,airport bandara cordia dalam surabaya,1,Budget
agoda,Favehotel Graha Agung Surabaya,352368,Surabaya,Indonesia,3,7.7,2025-10-03,2025-10-04,agung favehotel graha surabaya,1,Budget
agoda,Benson Studio Furnished – Pool View,359416,Surabaya,Indonesia,2,8.6,2025-10-03,2025-10-04,benson furnished pool studio view,1,Budget
traveloka,Bekizaar Hotel Surabaya,368615,Surabaya,Indonesia,3,8.5,2025-10-03,2025-10-04,bekizaar surabaya,1,Budget
traveloka,Deka Hotel Surabaya HR Muhammad,371499,Surabaya,Indonesia,5,8.4,2025-10-03,2025-10-04,deka hr muhammad surabaya,2,Best Value
agoda,Grand Hotel Surabaya,371901,Surabaya,Indonesia,4,8.0,2025-10-03,2025-10-04,grand surabaya,2,Best Value
agoda,DoubleTree by Hilton Surabaya,380877,Surabaya,Indonesia,5,9.4,2025-10-03,2025-10-04,by doubletree hilton surabaya,2,Best Value
agoda,"Four Points by Sheraton Surabaya, Tunjungan Plaza",382350,Surabaya,Indonesia,4,9.2,2025-10-03,2025-10-04,by four plaza points sheraton surabaya tunjungan,2,Best Value
agoda,Whiz Luxe Hotel Spazio Surabaya,385151,Surabaya,Indonesia,5,9.1,2025-10-03,2025-10-04,luxe spazio surabaya whiz,2,Best Value
agoda,Movenpick Surabaya City,397670,Surabaya,Indonesia,5,9.0,2025-10-03,2025-10-04,city movenpick surabaya,2,Best Value
traveloka,Primebiz Hotel Surabaya,397884,Surabaya,Indonesia,4,8.6,2025-10-03,2025-10-04,primebiz surabaya,2,Best Value
agoda,Royal Regantris Cendana,401520,Surabaya,Indonesia,3,8.9,2025-10-03,2025-10-04,cendana regantris royal,1,Budget
traveloka,Midtown Residence Surabaya,407823,Surabaya,Indonesia,3,8.8,2025-10-03,2025-10-04,midtown surabaya,1,Budget
agoda,Orange Hotel Surabaya,407930,Surabaya,Indonesia,2,8.5,2025-10-03,2025-10-04,orange surabaya,1,Budget
agoda,Java Paragon Hotel & Residences,426665,Surabaya,Indonesia,4,8.3,2025-10-03,2025-10-04,java paragon residences,2,Best Value
agoda,Life Puri Hotel Surabaya,432493,Surabaya,Indonesia,3,8.2,2025-10-03,2025-10-04,life puri surabaya,1,Budget
agoda,Stay.vie Hotel,433793,Surabaya,Indonesia,3,8.9,2025-10-03,2025-10-04,stayvie,1,Budget
agoda,Surabaya River View Hotel,439654,Surabaya,Indonesia,3,9.2,2025-10-03,2025-10-04,river surabaya view,1,Budget
traveloka,Goldvitel Hotel Surabaya,458567,Surabaya,Indonesia,3,8.4,2025-10-03,2025-10-04,goldvitel surabaya,1,Budget
traveloka,Tunjungan Hotel Surabaya,460983,Surabaya,Indonesia,4,8.0,2025-10-03,2025-10-04,surabaya tunjungan,2,Best Value
traveloka,Hotel Aria Centra Surabaya,473136,Surabaya,Indonesia,4,8.7,2025-10-03,2025-10-04,aria centra surabaya,2,Best Value
traveloka,EXCOTEL Design Hotel Surabaya,506757,Surabaya,Indonesia,3,9.5,2025-10-03,2025-10-04,design excotel surabaya,1,Budget
traveloka,Luxury Anderson 2 Bedroom by Miracle,518018,Surabaya,Indonesia,4,8.5,2025-10-03,2025-10-04,2 anderson bedroom by luxury miracle,2,Best Value
traveloka,Java Paragon Hotel And Residence,523250,Surabaya,Indonesia,3,8.6,2025-10-03,2025-10-04,and java paragon,1,Budget
agoda,Hotel Horison Arcadia Heritage Surabaya,538410,Surabaya,Indonesia,3,8.9,2025-10-03,2025-10-04,arcadia heritage horison surabaya,1,Budget
agoda,Swiss-Belinn Manyar,544354,Surabaya,Indonesia,3,8.7,2025-10-03,2025-10-04,manyar swissbelinn,1,Budget
traveloka,Swiss-Belinn Manyar Surabaya,581491,Surabaya,Indonesia,5,8.7,2025-10-03,2025-10-04,manyar surabaya swissbelinn,2,Best Value
traveloka,Premier Place Surabaya Airport,585586,Surabaya,Indonesia,4,8.7,2025-10-03,2025-10-04,airport place premier surabaya,2,Best Value
traveloka,Best Western Papilio Hotel,604423,Surabaya,Indonesia,4,8.6,2025-10-03,2025-10-04,best papilio western,2,Best Value
traveloka,Mercure Surabaya Manyar,616726,Surabaya,Indonesia,3,9.0,2025-10-03,2025-10-04,manyar mercure surabaya,1,Budget
traveloka,HARRIS Hotel & Conventions Bundaran Satelit Surabaya,622441,Surabaya,Indonesia,5,8.8,2025-10-03,2025-10-04,bundaran conventions harris satelit surabaya,2,Best Value
traveloka,Fairfield By Marriott Surabaya,626000,Surabaya,Indonesia,3,8.7,2025-10-03,2025-10-04,by fairfield marriott surabaya,1,Budget
agoda,JW Marriott Hotel Surabaya,665702,Surabaya,Indonesia,5,9.4,2025-10-03,2025-10-04,jw marriott surabaya,2,Best Value
traveloka,"THE ALIMAR PREMIER HOTEL Surabaya near UNAIR Airlangga , Galaxy Mall, KONI , ITS , Kenjeran , Suramadu , Indonesia",672400,Surabaya,Indonesia,3,8.1,2025-10-03,2025-10-04,airlangga alimar galaxy indonesia its kenjeran koni mall near premier surabaya suramadu the unair,1,Budget
traveloka,Bumi Surabaya City Resort,674447,Surabaya,Indonesia,4,8.9,2025-10-03,2025-10-04,bumi city surabaya,2,Best Value
traveloka,Swiss-Belinn Tunjungan Surabaya,696398,Surabaya,Indonesia,3,8.7,2025-10-03,2025-10-04,surabaya swissbelinn tunjungan,1,Budget
traveloka,The Alana Surabaya,698900,Surabaya,Indonesia,2,8.8,2025-10-03,2025-10-04,alana surabaya the,1,Budget
traveloka,Novotel Samator Surabaya Timur,733381,Surabaya,Indonesia,4,8.6,2025-10-03,2025-10-04,novotel samator surabaya timur,2,Best Value
agoda,Zoom Dharmahusada Hotel,790731,Surabaya,Indonesia,3,8.9,2025-10-03,2025-10-04,dharmahusada zoom,1,Budget
agoda,My Tower Hotel Surabaya,888759,Surabaya,Indonesia,3,7.4,2025-10-03,2025-10-04,my surabaya tower,0,Premium
traveloka,Wyndham Surabaya,941851,Surabaya,Indonesia,4,8.7,2025-10-03,2025-10-04,surabaya wyndham,0,Premium
traveloka,Shangri-La Surabaya,972000,Surabaya,Indonesia,4,8.7,2025-10-03,2025-10-04,shangrila surabaya,0,Premium
agoda,NEO Plus Waru Sidoarjo by ASTON,1138108,Surabaya,Indonesia,3,8.7,2025-10-03,2025-10-04,aston by neo plus sidoarjo waru,0,Premium
agoda,POP! Hotel Diponegoro Surabaya,1210000,Surabaya,Indonesia,3,8.7,2025-10-03,2025-10-04,diponegoro pop surabaya,0,Premium
agoda,Varna Culture Hotel Tunjungan Surabaya,1260000,Surabaya,Indonesia,3,8.6,2025-10-03,2025-10-04,culture surabaya tunjungan varna,0,Premium
traveloka,Ascott Waterplace Surabaya,1260442,Surabaya,Indonesia,3,8.7,2025-10-03,2025-10-04,ascott surabaya waterplace,0,Premium
traveloka,Sheraton Surabaya Hotel and Towers,1640000,Surabaya,Indonesia,4,8.8,2025-10-03,2025-10-04,and sheraton surabaya towers,0,Premium
