Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name,Cluster,Segmentation
traveloka,Grand Hotel Preanger,627040,Bandung,Indonesia,5,8.6,2025-10-05,2025-10-06,grand preanger,0,Mid-Range
tripcom,Grand Tjokro Premiere Bandung,627082,Bandung,Indonesia,4,8.7,2025-10-18,2025-10-19,bandung grand premiere tjokro,0,Mid-Range
agoda,Mason Pine Hotel Bandung,627088,Bandung,Indonesia,5,9.1,2025-09-27,2025-09-28,bandung mason pine,0,Mid-Range
traveloka,The Westlake Hotel & Resort Yogyakarta,627144,Yogyakarta,Indonesia,5,8.9,2025-10-03,2025-10-04,the westlake yogyakarta,0,Mid-Range
agoda,Sanur Agung Hotel,627190,Bali,Indonesia,3,7.1,2025-10-05,2025-10-06,agung sanur,1,Budget
tripcom,Aria Gajayana Hotel,627276,Malang,Indonesia,4,9.3,2025-10-22,2025-10-23,aria gajayana,0,Mid-Range
tripcom,Aria Gajayana Hotel,627276,Malang,Indonesia,4,9.3,2025-10-12,2025-10-13,aria gajayana,0,Mid-Range
tripcom,Aria Gajayana Hotel,627276,Malang,Indonesia,4,9.3,2025-10-21,2025-10-22,aria gajayana,0,Mid-Range
agoda,IDEAS Kuala Lumpur,627790,Kuala Lumpur,Malaysia,4,9.0,2025-09-29,2025-09-30,ideas kuala lumpur,0,Mid-Range
traveloka,Pleasant Studio (No Kitchen) At Grand Palace Kemayoran Apartment Near Jiexpo,627954,Jakarta,Indonesia,2,8.8,2025-09-27,2025-09-28,apartment at grand jiexpo kemayoran kitchen near no palace pleasant studio,1,Budget
tripcom,Yeongdeungpo Vamos Hotel,627986,Seoul,Korea Selatan,3,7.8,2025-10-20,2025-10-21,vamos yeongdeungpo,1,Budget
agoda,Zoom Dharmahusada Hotel,628059,Surabaya,Indonesia,3,9.0,2025-10-02,2025-10-03,dharmahusada zoom,1,Budget
traveloka,Veno Hotel,628078,Penang,Malaysia,5,8.8,2025-09-29,2025-09-30,veno,0,Mid-Range
traveloka,Veno Hotel,628078,Penang,Malaysia,5,8.8,2025-09-28,2025-09-29,veno,0,Mid-Range
traveloka,Veno Hotel,628078,Penang,Malaysia,5,8.8,2025-09-30,2025-10-01,veno,0,Mid-Range
agoda,Grasia Hotel,628100,Semarang,Indonesia,4,8.1,2025-09-29,2025-09-30,grasia,1,Budget
agoda,"Mono Coliving Brotojoyo, Semarang",628100,Semarang,Indonesia,5,9.1,2025-10-01,2025-10-02,brotojoyo coliving mono semarang,0,Mid-Range
traveloka,Ashley Tanah Abang,628173,Jakarta,Indonesia,5,9.1,2025-09-28,2025-09-29,abang ashley tanah,0,Mid-Range
tripcom,Aston Gejayan Yogyakarta Hotel & Conference Center,628217,Yogyakarta,Indonesia,5,9.8,2025-10-19,2025-10-20,aston center conference gejayan yogyakarta,0,Mid-Range
agoda,Saan Hotel Sathorn,628566,Bangkok,Thailand,4,9.1,2025-09-29,2025-09-30,saan sathorn,0,Mid-Range
agoda,HOTEL GREN ALIA JAKARTA,628719,Jakarta,Indonesia,5,9.2,2025-10-02,2025-10-03,alia gren jakarta,0,Mid-Range
agoda,HARRIS Suites fX Sudirman,628719,Jakarta,Indonesia,5,8.4,2025-09-28,2025-09-29,fx harris sudirman suites,0,Mid-Range
bookingcom,Java Paragon Hotel & Residences,629130,Surabaya,Indonesia,4,9.4,2025-11-01,2025-11-02,java paragon residences,0,Mid-Range
bookingcom,Java Paragon Hotel & Residences,629130,Surabaya,Indonesia,4,9.4,2025-10-28,2025-10-29,java paragon residences,0,Mid-Range
bookingcom,Java Paragon Hotel & Residences,629130,Surabaya,Indonesia,4,9.4,2025-10-30,2025-10-31,java paragon residences,0,Mid-Range
bookingcom,Java Paragon Hotel & Residences,629130,Surabaya,Indonesia,4,9.4,2025-10-29,2025-10-30,java paragon residences,0,Mid-Range
traveloka,The House Pratunam,629249,Bangkok,Thailand,4,8.9,2025-10-05,2025-10-06,house pratunam the,0,Mid-Range
traveloka,The House Pratunam,629249,Bangkok,Thailand,4,8.9,2025-09-29,2025-09-30,house pratunam the,0,Mid-Range
tripcom,THE 1O1 Malang OJ,629335,Malang,Indonesia,4,9.3,2025-10-21,2025-10-22,1o1 malang oj the,0,Mid-Range
tripcom,THE 1O1 Malang OJ,629335,Malang,Indonesia,4,9.3,2025-10-22,2025-10-23,1o1 malang oj the,0,Mid-Range
tripcom,THE 1O1 Malang OJ,629335,Malang,Indonesia,4,9.3,2025-10-12,2025-10-13,1o1 malang oj the,0,Mid-Range
agoda,Vangohh Eminent Hotel & Spa,629342,Penang,Malaysia,5,8.2,2025-09-28,2025-09-29,eminent spa vangohh,0,Mid-Range
agoda,Corner Club Penang,629342,Penang,Malaysia,3,8.9,2025-09-30,2025-10-01,club corner penang,1,Budget
agoda,Gaia Cosmo Hotel,629636,Yogyakarta,Indonesia,4,9.2,2025-09-28,2025-09-29,cosmo gaia,0,Mid-Range
traveloka,Java Paragon Hotel And Residence,629720,Surabaya,Indonesia,5,8.6,2025-09-26,2025-09-27,and java paragon residence,0,Mid-Range
agoda,Millennium Hotel Sirih Jakarta,629721,Jakarta,Indonesia,5,9.1,2025-10-02,2025-10-03,jakarta millennium sirih,0,Mid-Range
agoda,Batuque Town Villa 2,629857,Malang,Indonesia,2,9.1,2025-09-26,2025-09-27,2 batuque town villa,1,Budget
tripcom,Ibis Bandung Trans Studio,630000,Bandung,Indonesia,3,8.9,2025-10-15,2025-10-16,bandung ibis studio trans,1,Budget
agoda,Boss Suites Nana,630205,Bangkok,Thailand,4,7.4,2025-09-27,2025-09-28,boss nana suites,1,Budget
traveloka,Sahid Raya Hotel & Convention Yogyakarta,630221,Yogyakarta,Indonesia,4,8.6,2025-09-27,2025-09-28,convention raya sahid yogyakarta,0,Mid-Range
tripcom,Lafayette Boutique Hotel Yogyakarta,630327,Yogyakarta,Indonesia,5,9.3,2025-10-21,2025-10-22,boutique lafayette yogyakarta,0,Mid-Range
traveloka,The Stay Hotel Myeongdong,630509,Seoul,South Korea,3,8.6,2025-10-02,2025-10-03,myeongdong stay the,1,Budget
traveloka,Grand Sunshine Resort and Convention,630631,Bandung,Indonesia,5,9.2,2025-10-05,2025-10-06,and convention grand sunshine,0,Mid-Range
traveloka,Grand Sunshine Resort and Convention,630631,Bandung,Indonesia,5,9.2,2025-10-02,2025-10-03,and convention grand sunshine,0,Mid-Range
traveloka,Swiss-Belinn Simatupang Jakarta,630631,Jakarta,Indonesia,5,8.6,2025-09-26,2025-09-27,jakarta simatupang swissbelinn,0,Mid-Range
traveloka,ABCYQ Hotel,630684,Bangkok,Thailand,5,8.1,2025-10-05,2025-10-06,abcyq,0,Mid-Range
agoda,Grande Centre Point Sukhumvit 55 Thong Lo,630982,Bangkok,Thailand,5,9.4,2025-09-29,2025-09-30,55 centre grande lo point sukhumvit thong,0,Mid-Range
agoda,Solaria Nishitetsu Hotel Bangkok,630982,Bangkok,Thailand,4,9.2,2025-09-30,2025-10-01,bangkok nishitetsu solaria,0,Mid-Range
agoda,Solitaire Bangkok Sukhumvit 11,630982,Bangkok,Thailand,5,8.4,2025-09-28,2025-09-29,11 bangkok solitaire sukhumvit,0,Mid-Range
traveloka,Mansion One Suites by Merlene,631092,Penang,Malaysia,4,8.1,2025-09-30,2025-10-01,by mansion merlene one suites,1,Budget
tiketcom,Gino Feruci Braga by KAGUM Hotels,631204,Bandung,Indonesia,4,7.6,2025-10-17,2025-10-18,braga by feruci gino hotels kagum,1,Budget
traveloka,Mansion One Suites by Merlene,631272,Penang,Malaysia,4,8.1,2025-10-02,2025-10-03,by mansion merlene one suites,1,Budget
tripcom,Boutique Hotel k Dongdaemun,631305,Seoul,Korea Selatan,3,7.1,2025-10-20,2025-10-21,boutique dongdaemun k,1,Budget
tripcom,Boutique Hotel k Dongdaemun,631305,Seoul,Korea Selatan,3,7.1,2025-10-16,2025-10-17,boutique dongdaemun k,1,Budget
tripcom,REZ Hotel,631708,Semarang,Indonesia,4,9.3,2025-10-15,2025-10-16,rez,0,Mid-Range
tripcom,REZ Hotel,631708,Semarang,Indonesia,4,9.3,2025-10-14,2025-10-15,rez,0,Mid-Range
bookingcom,Hilton Garden Inn Kuala Lumpur - South,631859,Kuala Lumpur,Malaysia,3,7.8,2025-11-05,2025-11-06,garden hilton kuala lumpur south,1,Budget
tiketcom,Horison Ultima Suite & Residence Rasuna,631868,Jakarta,Indonesia,4,8.2,2025-10-18,2025-10-19,horison rasuna residence suite ultima,0,Mid-Range
traveloka,ibis Styles Jakarta Airport,631940,Jakarta,Indonesia,5,8.4,2025-10-04,2025-10-05,airport ibis jakarta styles,0,Mid-Range
traveloka,ibis Styles Jakarta Airport,631940,Jakarta,Indonesia,5,8.4,2025-10-05,2025-10-06,airport ibis jakarta styles,0,Mid-Range
traveloka,ibis Styles Jakarta Airport,631940,Jakarta,Indonesia,5,8.4,2025-10-03,2025-10-04,airport ibis jakarta styles,0,Mid-Range
agoda,12 The Residence Hotel & Apartment,631953,Bangkok,Thailand,3,8.9,2025-09-29,2025-09-30,12 apartment residence the,1,Budget
traveloka,Grandia Hotel Bandung,631987,Bandung,Indonesia,5,8.8,2025-10-05,2025-10-06,bandung grandia,0,Mid-Range
agoda,SO! Boutique Hostel,632223,Malang,Indonesia,2,9.2,2025-10-03,2025-10-04,boutique hostel so,1,Budget
traveloka,Best Western Nada Don Mueang Airport Hotel,632392,Bangkok,Thailand,4,8.9,2025-10-04,2025-10-05,airport best don mueang nada western,0,Mid-Range
traveloka,InnB Park Hotel,632610,Kuala Lumpur,Malaysia,4,8.8,2025-10-04,2025-10-05,innb park,0,Mid-Range
agoda,Menara Peninsula Hotel,633156,Jakarta,Indonesia,4,8.4,2025-09-26,2025-09-27,menara peninsula,0,Mid-Range
tripcom,Aston Kuta Hotel & Residence,633236,Bali,Indonesia,5,9.2,2025-10-22,2025-10-23,aston kuta residence,0,Mid-Range
tripcom,Hotel Star,633519,Seoul,Korea Selatan,3,8.0,2025-10-20,2025-10-21,star,1,Budget
agoda,The Singhasari Resort,633585,Malang,Indonesia,5,9.2,2025-09-29,2025-09-30,singhasari the,0,Mid-Range
traveloka,118 Hotel Macalister,633592,Penang,Malaysia,5,8.2,2025-09-29,2025-09-30,118 macalister,0,Mid-Range
bookingcom,BUMINAKURA,633600,Bandung,Indonesia,2,9.2,2025-11-03,2025-11-04,buminakura,1,Budget
bookingcom,InterContinental Bandung Dago Pakar by IHG,633600,Bandung,Indonesia,5,8.5,2025-10-27,2025-10-28,bandung by dago ihg intercontinental pakar,0,Mid-Range
bookingcom,BUMINAKURA,633600,Bandung,Indonesia,2,9.2,2025-11-05,2025-11-06,buminakura,1,Budget
bookingcom,BUMINAKURA,633600,Bandung,Indonesia,2,9.2,2025-11-04,2025-11-05,buminakura,1,Budget
bookingcom,BUMINAKURA,633600,Bandung,Indonesia,2,9.2,2025-10-31,2025-11-01,buminakura,1,Budget
bookingcom,BUMINAKURA,633600,Bandung,Indonesia,2,9.2,2025-10-29,2025-10-30,buminakura,1,Budget
bookingcom,BUMINAKURA,633600,Bandung,Indonesia,2,9.2,2025-11-01,2025-11-02,buminakura,1,Budget
bookingcom,BUMINAKURA,633600,Bandung,Indonesia,2,9.2,2025-10-28,2025-10-29,buminakura,1,Budget
bookingcom,BUMINAKURA,633600,Bandung,Indonesia,2,9.2,2025-10-30,2025-10-31,buminakura,1,Budget
bookingcom,BUMINAKURA,633600,Bandung,Indonesia,2,9.2,2025-11-02,2025-11-03,buminakura,1,Budget
tripcom,Aston Tropicana Hotel Bandung,633725,Bandung,Indonesia,4,8.9,2025-10-18,2025-10-19,aston bandung tropicana,0,Mid-Range
tripcom,Aston Tropicana Hotel Bandung,633725,Bandung,Indonesia,4,8.9,2025-10-17,2025-10-18,aston bandung tropicana,0,Mid-Range
tripcom,ARTOTEL Yogyakarta,633752,Yogyakarta,Indonesia,4,9.1,2025-10-13,2025-10-14,artotel yogyakarta,0,Mid-Range
tripcom,ARTOTEL Yogyakarta,633752,Yogyakarta,Indonesia,4,9.1,2025-10-12,2025-10-13,artotel yogyakarta,0,Mid-Range
agoda,Riche Heritage Hotel Alun Alun Malang,633957,Malang,Indonesia,4,9.2,2025-10-05,2025-10-06,alun alun heritage malang riche,0,Mid-Range
agoda,Rayz UMM Hotel Malang,633991,Malang,Indonesia,4,9.2,2025-10-05,2025-10-06,malang rayz umm,0,Mid-Range
tripcom,Ibis Styles Bandung Grand Central,634014,Bandung,Indonesia,3,9.2,2025-10-13,2025-10-14,bandung central grand ibis styles,1,Budget
traveloka,Nat Nat Homestay,634111,Malang,Indonesia,4,8.6,2025-09-26,2025-09-27,homestay nat nat,0,Mid-Range
tripcom,Easy Planet Bangkok Asoke,634134,Bangkok,Thailand,3,8.4,2025-10-20,2025-10-21,asoke bangkok easy planet,1,Budget
tripcom,Hotel Louis Kienne Pemuda,634147,Semarang,Indonesia,4,8.5,2025-10-17,2025-10-18,kienne louis pemuda,0,Mid-Range
tripcom,Savana Hotel & Convention Malang,634391,Malang,Indonesia,4,9.2,2025-10-16,2025-10-17,convention malang savana,0,Mid-Range
tripcom,Asoke Residence Sukhumvit by UHG,634467,Bangkok,Thailand,4,8.5,2025-10-13,2025-10-14,asoke by residence sukhumvit uhg,0,Mid-Range
