date,airline,departure_time,arrival_time,duration,transit,flight_price,origin,destination,seat_class,baggage,city,Platform,Hotel Name,hotel_price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name,total_price,cluster_raw,cluster
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,bookingcom,Ayaka Suites,679829,Jakarta,Indonesia,4,8.7,2025-12-12,2025-12-13,ayaka suites,2018560.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,agoda,Manhattan Hotel Jakarta.,681851,Jakarta,Indonesia,5,8.1,2025-12-12,2025-12-13,jakarta manhattan,2020582.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,tripcom,FM7 Resort Hotel Bandara Jakarta Airport,716221,Jakarta,Indonesia,4,8.9,2025-12-12,2025-12-13,airport bandara fm7 jakarta,2054952.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,agoda,CONJIOO HOTEL at JAKARTA AIRPORT,720147,Jakarta,Indonesia,4,8.9,2025-12-12,2025-12-13,airport at conjioo jakarta,2058878.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,bookingcom,ibis Styles Jakarta Tanah Abang,730075,Jakarta,Indonesia,4,8.8,2025-12-12,2025-12-13,abang ibis jakarta styles tanah,2068806.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,bookingcom,Aston Kemayoran City Hotel,733683,Jakarta,Indonesia,5,8.6,2025-12-12,2025-12-13,aston city kemayoran,2072414.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,bookingcom,Jambuluwuk Thamrin Hotel,738195,Jakarta,Indonesia,5,8.7,2025-12-12,2025-12-13,jambuluwuk thamrin,2076926.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,tripcom,Best Western Senayan,772563,Jakarta,Indonesia,3,9.0,2025-12-12,2025-12-13,best senayan western,2111294.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,tripcom,Lumire Hotel & Convention Centre,775597,Jakarta,Indonesia,4,8.9,2025-12-12,2025-12-13,centre convention lumire,2114328.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,tripcom,Millennium Hotel Sirih Jakarta,788209,Jakarta,Indonesia,5,9.1,2025-12-12,2025-12-13,jakarta millennium sirih,2126940.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,tripcom,Swiss-Belhotel Airport Jakarta,868863,Jakarta,Indonesia,4,8.5,2025-12-12,2025-12-13,airport jakarta swissbelhotel,2207594.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,agoda,Super OYO Townhouse 1 Hotel Salemba,871176,Jakarta,Indonesia,4,8.1,2025-12-12,2025-12-13,1 oyo salemba super townhouse,2209907.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,tripcom,Aryaduta Suites Semanggi,900799,Jakarta,Indonesia,4,8.4,2025-12-12,2025-12-13,aryaduta semanggi suites,2239530.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,tripcom,Holiday Inn Express Jakarta Pluit Citygate,901828,Jakarta,Indonesia,3,8.3,2025-12-12,2025-12-13,citygate express holiday jakarta pluit,2240559.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,bookingcom,Holiday Inn Express Jakarta Pluit Citygate by IHG,903221,Jakarta,Indonesia,5,7.6,2025-12-12,2025-12-13,by citygate express holiday ihg jakarta pluit,2241952.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,agoda,DoubleTree by Hilton Jakarta - Diponegoro,903622,Jakarta,Indonesia,5,9.0,2025-12-12,2025-12-13,by diponegoro doubletree hilton jakarta,2242353.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,tripcom,Somerset Sudirman Jakarta,910228,Jakarta,Indonesia,4,8.9,2025-12-12,2025-12-13,jakarta somerset sudirman,2248959.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,agoda,1O1 URBAN Jakarta Kelapa Gading,915978,Jakarta,Indonesia,3,8.7,2025-12-12,2025-12-13,1o1 gading jakarta kelapa urban,2254709.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,tripcom,All Seasons Jakarta Thamrin,949850,Jakarta,Indonesia,3,8.2,2025-12-12,2025-12-13,all jakarta seasons thamrin,2288581.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,tiketcom,Aston Priority Simatupang Hotel & Conference Center,1023751,Jakarta,Indonesia,4,9.0,2025-12-12,2025-12-13,aston center conference priority simatupang,2362482.0,2,Budget
