Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name,Cluster,Segmentation
traveloka,Novotel Samator Surabaya Timur,733381,Surabaya,Indonesia,4,8.6,2025-10-02,2025-10-03,novotel samator surabaya timur,1,Budget
agoda,Grand Hotel Surabaya,733381,Surabaya,Indonesia,5,8.3,2025-10-02,2025-10-03,grand surabaya,1,Budget
agoda,PLUM Prestige Hotel Juanda,750686,Surabaya,Indonesia,4,8.6,2025-10-02,2025-10-03,juanda plum prestige,1,Budget
traveloka,Wyndham Surabaya,941851,Surabaya,Indonesia,5,8.7,2025-10-02,2025-10-03,surabaya wyndham,1,Budget
agoda,Vasa Hotel Surabaya,1138422,Surabaya,Indonesia,5,9.0,2025-10-02,2025-10-03,surabaya vasa,1,Budget
agoda,Capital O 90336 Olive Guest House,1270000,Surabaya,Indonesia,2,9.1,2025-10-02,2025-10-03,90336 capital guest house o olive,0,Premium
traveloka,Shangri-La Surabaya,1299584,Surabaya,Indonesia,5,8.7,2025-10-02,2025-10-03,shangrila surabaya,0,Premium
agoda,The Sun Hotel Sidoarjo,1361157,Surabaya,Indonesia,4,8.8,2025-10-02,2025-10-03,sidoarjo sun the,0,Premium
traveloka,Ascott Waterplace Surabaya,1364594,Surabaya,Indonesia,3,8.7,2025-10-02,2025-10-03,ascott surabaya waterplace,0,Premium
traveloka,Sheraton Surabaya Hotel and Towers,1600000,Surabaya,Indonesia,4,8.8,2025-10-02,2025-10-03,and sheraton surabaya towers,0,Premium
agoda,Hotel O Siwalankerto Near Surabaya Carnival,1600000,Surabaya,Indonesia,3,9.0,2025-10-02,2025-10-03,carnival near o siwalankerto surabaya,0,Premium
traveloka,The Westin Surabaya,2290000,Surabaya,Indonesia,3,9.2,2025-10-02,2025-10-03,surabaya the westin,0,Premium
agoda,Sumi Hotel Surabaya,2290000,Surabaya,Indonesia,3,8.4,2025-10-02,2025-10-03,sumi surabaya,0,Premium
