Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name,Cluster,Segmentation
tiketcom,Orange Hotel Surabaya,98467,Surabaya,Indonesia,1,8.6,2025-10-22,2025-10-23,orange surabaya,2,Budget
tripcom,My Tower Hotel Surabaya,114655,Surabaya,Indonesia,3,6.3,2025-10-22,2025-10-23,my surabaya tower,2,Budget
tiketcom,Istana Permata Dinoyo,138441,Surabaya,Indonesia,2,7.6,2025-10-22,2025-10-23,dinoyo istana permata,2,Budget
tripcom,Hotel O 76 Gayungsari,161839,Surabaya,Indonesia,3,8.4,2025-10-22,2025-10-23,76 gayungsari o,2,Budget
tiketcom,"Mono Coliving Ngagel, Surabaya",175563,Surabaya,Indonesia,1,9.0,2025-10-22,2025-10-23,coliving mono ngagel surabaya,0,Best Value
tripcom,Country Heritage Hotel,178942,Surabaya,Indonesia,3,7.9,2025-10-22,2025-10-23,country heritage,2,Budget
tiketcom,Paviliun Permata Apartment,181500,Surabaya,Indonesia,3,7.8,2025-10-22,2025-10-23,apartment paviliun permata,2,Budget
tiketcom,Country Heritage Resort Surabaya,185882,Surabaya,Indonesia,4,8.4,2025-10-22,2025-10-23,country heritage surabaya,0,Best Value
tiketcom,Arimbi Stay,197846,Surabaya,Indonesia,3,8.6,2025-10-22,2025-10-23,arimbi stay,0,Best Value
tiketcom,D Carol Hotel Surabaya,208444,Surabaya,Indonesia,3,8.2,2025-10-22,2025-10-23,carol d surabaya,2,Budget
tripcom,Arimbi Stay Surabaya,211592,Surabaya,Indonesia,2,8.8,2025-10-22,2025-10-23,arimbi stay surabaya,0,Best Value
tripcom,Graha Widya Bhakti,217634,Surabaya,Indonesia,3,8.7,2025-10-22,2025-10-23,bhakti graha widya,0,Best Value
tripcom,Nite & Day Hotel Kedungdoro,218325,Surabaya,Indonesia,2,7.6,2025-10-22,2025-10-23,day kedungdoro nite,2,Budget
tiketcom,"Hersya Boutique Hotel Surabaya, Azana Hotels Collection",228353,Surabaya,Indonesia,3,8.6,2025-10-22,2025-10-23,azana boutique collection hersya hotels surabaya,0,Best Value
tripcom,Noesa Heritage,228759,Surabaya,Indonesia,3,8.3,2025-10-22,2025-10-23,heritage noesa,2,Budget
tiketcom,Best Hotel Surabaya,231000,Surabaya,Indonesia,4,8.6,2025-10-22,2025-10-23,best surabaya,0,Best Value
tripcom,Mono Colving - Ngagel Residence Surabaya,236016,Surabaya,Indonesia,3,8.7,2025-10-22,2025-10-23,colving mono ngagel surabaya,0,Best Value
tripcom,Life Hotel Mayjend Sungkono,237722,Surabaya,Indonesia,1,7.6,2025-10-22,2025-10-23,life mayjend sungkono,2,Budget
tiketcom,Monoloog Hotel Surabaya,252146,Surabaya,Indonesia,2,8.4,2025-10-22,2025-10-23,monoloog surabaya,2,Budget
tiketcom,Gunawangsa Manyar Hotel Surabaya,255002,Surabaya,Indonesia,3,8.2,2025-10-22,2025-10-23,gunawangsa manyar surabaya,2,Budget
tripcom,Royal Regantris Cendana,259874,Surabaya,Indonesia,3,8.7,2025-10-22,2025-10-23,cendana regantris royal,0,Best Value
tiketcom,Sahid Surabaya,266666,Surabaya,Indonesia,3,8.2,2025-10-22,2025-10-23,sahid surabaya,2,Budget
tiketcom,Studio Gunawangsa Manyar by Starlight Apartement,272250,Surabaya,Indonesia,3,8.6,2025-10-22,2025-10-23,apartement by gunawangsa manyar starlight studio,0,Best Value
tiketcom,Pakuwon Mall Orchard Anderson Tanglin Benson WIFI Netflix Disney by Aquhome,273278,Surabaya,Indonesia,3,9.8,2025-10-22,2025-10-23,anderson aquhome benson by disney mall netflix orchard pakuwon tanglin wifi,0,Best Value
tripcom,PanaHouse Surabaya,274608,Surabaya,Indonesia,2,9.0,2025-10-22,2025-10-23,panahouse surabaya,0,Best Value
tiketcom,PALM PARK Hotel Surabaya,274663,Surabaya,Indonesia,3,8.8,2025-10-22,2025-10-23,palm park surabaya,0,Best Value
tripcom,LAMORA Kota Lama Surabaya,285986,Surabaya,Indonesia,3,8.8,2025-10-22,2025-10-23,kota lama lamora surabaya,0,Best Value
tripcom,Hotel Gunawangsa Manyar,286200,Surabaya,Indonesia,3,8.4,2025-10-22,2025-10-23,gunawangsa manyar,2,Budget
tiketcom,Rumah Kertajaya,286500,Surabaya,Indonesia,3,9.2,2025-10-22,2025-10-23,kertajaya rumah,0,Best Value
tripcom,Hotel 88 Embong Kenongo,287227,Surabaya,Indonesia,2,8.9,2025-10-22,2025-10-23,88 embong kenongo,0,Best Value
tiketcom,favehotel MEX Tunjungan Surabaya,287800,Surabaya,Indonesia,3,8.4,2025-10-22,2025-10-23,favehotel mex surabaya tunjungan,2,Budget
tripcom,Hotel 88 Kedungsari - Kedungdoro By WH,289143,Surabaya,Indonesia,3,9.3,2025-10-22,2025-10-23,88 by kedungdoro kedungsari wh,0,Best Value
tiketcom,Tanglin by Miracle,290400,Surabaya,Indonesia,3,9.0,2025-10-22,2025-10-23,by miracle tanglin,0,Best Value
tiketcom,Orchard Apartment by Miracle,290400,Surabaya,Indonesia,3,9.2,2025-10-22,2025-10-23,apartment by miracle orchard,0,Best Value
tripcom,Hotel 88 Embong Malang,291789,Surabaya,Indonesia,3,8.7,2025-10-22,2025-10-23,88 embong malang,0,Best Value
tripcom,The Win Hotel Surabaya,292802,Surabaya,Indonesia,3,8.1,2025-10-22,2025-10-23,surabaya the win,2,Budget
tiketcom,Prime Royal Hotel Surabaya,301935,Surabaya,Indonesia,3,8.0,2025-10-22,2025-10-23,prime royal surabaya,2,Budget
tiketcom,Amor Studio Pakuwon City Mall Surabaya Timur,302999,Surabaya,Indonesia,3,9.6,2025-10-22,2025-10-23,amor city mall pakuwon studio surabaya timur,0,Best Value
tripcom,Ibis Budget Surabaya Diponegoro,305036,Surabaya,Indonesia,2,8.9,2025-10-22,2025-10-23,budget diponegoro ibis surabaya,0,Best Value
tripcom,Amaris Hotel Margorejo Surabaya,308498,Surabaya,Indonesia,2,9.3,2025-10-22,2025-10-23,amaris margorejo surabaya,0,Best Value
tripcom,REGANTRIS HOTEL SURABAYA,319681,Surabaya,Indonesia,3,8.7,2025-10-22,2025-10-23,regantris surabaya,0,Best Value
tripcom,Varna Culture Hotel Tunjungan Surabaya,320330,Surabaya,Indonesia,3,8.4,2025-10-22,2025-10-23,culture surabaya tunjungan varna,2,Budget
tiketcom,Apartment Vittorio Wiyung by ASH,321510,Surabaya,Indonesia,3,9.6,2025-10-22,2025-10-23,apartment ash by vittorio wiyung,0,Best Value
tiketcom,Hotel Great Diponegoro Surabaya,326470,Surabaya,Indonesia,3,8.8,2025-10-22,2025-10-23,diponegoro great surabaya,0,Best Value
tripcom,MaxOneHotel Tidar Surabaya,329920,Surabaya,Indonesia,3,9.4,2025-10-22,2025-10-23,maxonehotel surabaya tidar,0,Best Value
tiketcom,Skysuites Residence,330000,Surabaya,Indonesia,3,9.6,2025-10-22,2025-10-23,skysuites,0,Best Value
tripcom,Hotel Neo Gubeng,330207,Surabaya,Indonesia,3,8.9,2025-10-22,2025-10-23,gubeng neo,0,Best Value
tiketcom,favehotel Rungkut Surabaya,330266,Surabaya,Indonesia,3,8.4,2025-10-22,2025-10-23,favehotel rungkut surabaya,2,Budget
tiketcom,G Suites Hotel By AMITHYA,337499,Surabaya,Indonesia,3,8.4,2025-10-22,2025-10-23,amithya by g suites,2,Budget
tiketcom,Hotel Horison Arcadia Heritage Surabaya,345026,Surabaya,Indonesia,4,8.8,2025-10-22,2025-10-23,arcadia heritage horison surabaya,0,Best Value
tripcom,BATIQA Hotel Darmo - Surabaya,356753,Surabaya,Indonesia,3,8.8,2025-10-22,2025-10-23,batiqa darmo surabaya,0,Best Value
tiketcom,Anderson by Miracle,359355,Surabaya,Indonesia,3,8.6,2025-10-22,2025-10-23,anderson by miracle,0,Best Value
tiketcom,d'primahotel Jemursari Surabaya,363875,Surabaya,Indonesia,3,9.2,2025-10-22,2025-10-23,dprimahotel jemursari surabaya,0,Best Value
tiketcom,Quest Hotel Darmo - Surabaya by ASTON,364280,Surabaya,Indonesia,3,8.8,2025-10-22,2025-10-23,aston by darmo quest surabaya,0,Best Value
tiketcom,Surabaya Suites Hotel Powered by Archipelago,364961,Surabaya,Indonesia,4,9.0,2025-10-22,2025-10-23,archipelago by powered suites surabaya,0,Best Value
tiketcom,Bekizaar Hotel Surabaya,366127,Surabaya,Indonesia,3,8.6,2025-10-22,2025-10-23,bekizaar surabaya,0,Best Value
tiketcom,Halogen Hotel Airport Surabaya,366192,Surabaya,Indonesia,3,9.0,2025-10-22,2025-10-23,airport halogen surabaya,0,Best Value
tiketcom,Hotel Dafam Pacific Caesar Surabaya,375232,Surabaya,Indonesia,3,8.8,2025-10-22,2025-10-23,caesar dafam pacific surabaya,0,Best Value
tripcom,Amaris Hotel Darmo Surabaya,382500,Surabaya,Indonesia,2,9.2,2025-10-22,2025-10-23,amaris darmo surabaya,0,Best Value
tiketcom,Best Choice and Tidy 2BR at Puncak Dharmahusada Apartment By Travelio,387957,Surabaya,Indonesia,3,6.6,2025-10-22,2025-10-23,2br and apartment at best by choice dharmahusada puncak tidy travelio,2,Budget
tripcom,Hotel Surabaya River View,389452,Surabaya,Indonesia,3,9.1,2025-10-22,2025-10-23,river surabaya view,0,Best Value
tripcom,Elmi Hotel,391699,Surabaya,Indonesia,3,9.0,2025-10-22,2025-10-23,elmi,0,Best Value
tiketcom,Goldvitel Hotel Surabaya,394502,Surabaya,Indonesia,4,8.4,2025-10-22,2025-10-23,goldvitel surabaya,0,Best Value
tripcom,Ibis Surabaya City Center,403750,Surabaya,Indonesia,3,8.6,2025-10-22,2025-10-23,center city ibis surabaya,0,Best Value
tiketcom,Aston Inn Jemursari Surabaya,408001,Surabaya,Indonesia,3,9.2,2025-10-22,2025-10-23,aston jemursari surabaya,0,Best Value
tripcom,Djuragankamar Gunung Anyar,414832,Surabaya,Indonesia,2,9.1,2025-10-22,2025-10-23,anyar djuragankamar gunung,0,Best Value
tiketcom,Apartemen (Anderson Benson Orchard Tanglin) Pakuwon Mall by Mansionkusby,419532,Surabaya,Indonesia,5,8.6,2025-10-22,2025-10-23,anderson apartemen benson by mall mansionkusby orchard pakuwon tanglin,0,Best Value
tiketcom,Shanaya at Benson Pakuwon Mall with City View,429550,Surabaya,Indonesia,3,10.0,2025-10-22,2025-10-23,at benson city mall pakuwon shanaya view with,0,Best Value
tripcom,Midtown Hotel,430503,Surabaya,Indonesia,3,8.7,2025-10-22,2025-10-23,midtown,0,Best Value
tiketcom,Cordia Hotel Surabaya Airport (formerly Ibis Budget Surabaya Airport),430703,Surabaya,Indonesia,2,8.4,2025-10-22,2025-10-23,airport airport budget cordia formerly ibis surabaya surabaya,2,Budget
tiketcom,Grand Darmo Suite by AMITHYA,432383,Surabaya,Indonesia,4,8.6,2025-10-22,2025-10-23,amithya by darmo grand suite,0,Best Value
tiketcom,PrimeBiz Hotel Surabaya,449131,Surabaya,Indonesia,3,9.2,2025-10-22,2025-10-23,primebiz surabaya,0,Best Value
tripcom,Hotel Santika Pandegiling Surabaya,464588,Surabaya,Indonesia,3,9.2,2025-10-22,2025-10-23,pandegiling santika surabaya,0,Best Value
tiketcom,Midtown Hotel Surabaya,465712,Surabaya,Indonesia,3,9.0,2025-10-22,2025-10-23,midtown surabaya,0,Best Value
tiketcom,Grand Whiz Hotel Praxis Surabaya,469250,Surabaya,Indonesia,4,9.6,2025-10-22,2025-10-23,grand praxis surabaya whiz,0,Best Value
tiketcom,Bess Mansion Hotel,483962,Surabaya,Indonesia,4,9.2,2025-10-22,2025-10-23,bess mansion,0,Best Value
tiketcom,Apartemen Educity Pakuwon City,486850,Surabaya,Indonesia,3,10.0,2025-10-22,2025-10-23,apartemen city educity pakuwon,0,Best Value
tripcom,Crown Prince Hotel Surabaya Managed by Midtown Indonesia,499830,Surabaya,Indonesia,4,9.1,2025-10-22,2025-10-23,by crown indonesia managed midtown prince surabaya,0,Best Value
tripcom,LUMINOR HOTEL JEMURSARI SURABAYA,524472,Surabaya,Indonesia,4,9.0,2025-10-22,2025-10-23,jemursari luminor surabaya,0,Best Value
tiketcom,Verwood Hotel and Serviced Residence,525751,Surabaya,Indonesia,4,8.8,2025-10-22,2025-10-23,and serviced verwood,0,Best Value
tripcom,Narita Hotel Surabaya,533893,Surabaya,Indonesia,3,9.8,2025-10-22,2025-10-23,narita surabaya,0,Best Value
