Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name
bookingcom,The Platinum KLCC 2,3031383,Kuala Lumpur,Malaysia,4,9.6,2025-12-13,2025-12-14,2 klcc platinum the
bookingcom,The Platinum KLCC 2,3031383,Kuala Lumpur,Malaysia,4,9.6,2025-12-12,2025-12-13,2 klcc platinum the
bookingcom,The Platinum KLCC 2,3031383,Kuala Lumpur,Malaysia,4,9.6,2025-12-14,2025-12-15,2 klcc platinum the
bookingcom,The Platinum KLCC 2,3031383,Kuala Lumpur,Malaysia,4,9.6,2025-12-10,2025-12-11,2 klcc platinum the
bookingcom,The Platinum KLCC 2,3031383,Kuala Lumpur,Malaysia,4,9.6,2025-12-18,2025-12-19,2 klcc platinum the
bookingcom,The Platinum KLCC 2,3031383,Kuala Lumpur,Malaysia,4,9.6,2025-12-17,2025-12-18,2 klcc platinum the
agoda,"The Originals Boutique, Hôtel Maison Montmartre Paris Les Puces",3034505,Paris,Perancis,4,7.7,2025-12-10,2025-12-11,boutique hôtel les maison montmartre originals paris puces the
tripcom,Holiday Inn Golden Mile,3037821,Hong Kong,China,4,8.6,2025-12-17,2025-12-18,golden holiday mile
agoda,Sadang MRG,3038006,Seoul,South Korea,4,8.8,2025-12-16,2025-12-17,mrg sadang
agoda,ibis Paris CDG Airport,3038535,Paris,Perancis,3,8.0,2025-12-10,2025-12-11,airport cdg ibis paris
agoda,Gateway Hotel (Marco Polo),3039771,Hong Kong,China,4,8.7,2025-12-17,2025-12-18,gateway marco polo
tripcom,Kawasaki Nikko Hotel,3040618,Tokyo,Jepang,4,9.2,2025-12-14,2025-12-15,kawasaki nikko
tripcom,Sunshine City Prince Hotel Ikebukuro Tokyo,3041889,Tokyo,Jepang,4,9.0,2025-12-13,2025-12-14,city ikebukuro prince sunshine tokyo
agoda,DoubleTree by Hilton Kuala Lumpur,3042851,Kuala Lumpur,Malaysia,4,8.8,2025-12-17,2025-12-18,by doubletree hilton kuala lumpur
agoda,J-Hotel by Dorsett,3042851,Kuala Lumpur,Malaysia,3,9.0,2025-12-16,2025-12-17,by dorsett jhotel
tripcom,HAMACHO HOTEL TOKYO,3043793,Tokyo,Jepang,3,9.3,2025-12-14,2025-12-15,hamacho tokyo
tripcom,Grand Hotel du Calvados - Opera,3044380,Paris,Perancis,3,7.0,2025-12-18,2025-12-19,calvados du grand opera
agoda,Residence Inn Paris Charles de Gaulle Central Airport,3045376,Paris,Perancis,3,8.6,2025-12-16,2025-12-17,airport central charles de gaulle paris residence
tripcom,Libertel Austerlitz Jardin des Plantes,3047486,Paris,Perancis,3,8.4,2025-12-18,2025-12-19,austerlitz des jardin libertel plantes
agoda,Sejours and Affaires Rive Gauche Aparthotel,3050723,Paris,Perancis,2,8.0,2025-12-16,2025-12-17,affaires and aparthotel gauche rive sejours
agoda,Hotel Paris Legendre,3055521,Paris,Perancis,2,7.7,2025-12-12,2025-12-13,legendre paris
tripcom,Holiday Inn Golden Mile,3059239,Hong Kong,China,4,8.6,2025-12-09,2025-12-10,golden holiday mile
tripcom,Hotel Riviera Elysees,3064436,Paris,Perancis,3,7.1,2025-12-16,2025-12-17,elysees riviera
agoda,Grand Hotel Champs Elysées,3064923,Paris,Perancis,5,8.2,2025-12-16,2025-12-17,champs elysées grand
agoda,The Quarter Ladprao by UHG,3067102,Bangkok,Thailand,4,9.0,2025-12-17,2025-12-18,by ladprao quarter the uhg
tripcom,Hyatt Centric Victoria Harbour Hong Kong,3067372,Hong Kong,China,5,9.3,2025-12-09,2025-12-10,centric harbour hong hyatt kong victoria
tripcom,Hyatt Centric Victoria Harbour Hong Kong,3067372,Hong Kong,China,5,9.3,2025-12-10,2025-12-11,centric harbour hong hyatt kong victoria
