Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name
traveloka,YOTEL Tokyo Ginza,3681095,Tokyo,Jepang,4,10.0,01/10/2025,02/10/2025,ginza tokyo yotel
traveloka,Regal Oriental Hotel,3681430,Hong Kong,China,4,8.4,03/10/2025,04/10/2025,oriental regal
agoda,ibis Styles Paris Roissy-CDG,3681657,Paris,Perancis,3,7.3,02/10/2025,03/10/2025,ibis paris roissycdg styles
agoda,ARA125,3684592,Seoul,South Korea,4,9.2,03/10/2025,04/10/2025,ara125
traveloka,Grand Hyatt Bali,3684780,Bali,Indonesia,5,8.8,02/10/2025,03/10/2025,bali grand hyatt
traveloka,Moxy Seoul Insadong,3684835,Seoul,South Korea,4,9.0,04/10/2025,05/10/2025,insadong moxy seoul
agoda,Hotel de Paris Opera,3685524,Paris,Perancis,2,7.1,26/09/2025,27/09/2025,de opera paris
traveloka,iclub Fortress Hill Hotel,3685617,Hong Kong,China,4,8.7,04/10/2025,05/10/2025,fortress hill iclub
tripcom,Mercure Singapore on Stevens,3686180,Singapura,Singapura,4,8.6,13/10/2025,14/10/2025,mercure on singapore stevens
traveloka,Nathan Hotel,3688444,Hong Kong,China,5,9.0,03/10/2025,04/10/2025,nathan
agoda,Pullman Singapore Hill Street,3688617,Singapura,Singapura,5,9.0,28/09/2025,29/09/2025,hill pullman singapore street
traveloka,Hôtel Josephine by Happyculture,3689470,Paris,Perancis,4,8.4,26/09/2025,27/09/2025,by happyculture hôtel josephine
traveloka,Hotel Skypark Myeongdong Iii,3690732,Seoul,South Korea,3,8.6,26/09/2025,27/09/2025,iii myeongdong skypark
traveloka,Travelodge Myeongdong Namsan,3691423,Seoul,South Korea,3,7.8,04/10/2025,05/10/2025,myeongdong namsan travelodge
tripcom,Best Western Hotel Litteraire Arthur Rimbaud,3691430,Paris,Perancis,4,8.3,13/10/2025,14/10/2025,arthur best litteraire rimbaud western
tripcom,M Hotel Singapore City Centre,3694410,Singapura,Singapura,5,8.6,18/10/2025,19/10/2025,centre city m singapore
traveloka,Best Western Hotel Ronceray Opera,3697174,Paris,Perancis,3,8.3,05/10/2025,06/10/2025,best opera ronceray western
